ALNU,60200.0,17.2,9.0,2.72,1,RUB,457,Сырье
SHI,21.9,14.7,9.0,8.69,1,USD,493,Сырье
MTLRP,70.15,25.9,69.6,15.886823529411766,1,RUB,541,Сырье
OI,11.32,1.7,32.5,5.88,4,USD,551,Сырье
KZOS,80.9,9.6,9.0,7.76,1,RUB,640,Сырье
CHEP,237.0,6.4,9.0,7.07,1,RUB,674,Сырье
NKNCP,78.8,25.3,9.1,12.02,1,RUB,768,Сырье
NKNC,90.6,22.0,9.0,12.02,1,RUB,778,Сырье
CMP,62.46,4.6,18.4,25.94,4,USD,812,Сырье
NEM,58.82,2.2,19.0,18.53,+4,USD,855,Сырье
STLD,36.21,2.6,9.0,15.98,+4,USD,1025,Сырье
KZOSP,10.99,2.2,9.0,7.76,1,RUB,1052,Сырье
AVNT,36.55,2.1,3.9,5.49,+4,USD,1136,Сырье
WRK,42.21,4.3,11.3,30.5192485549133,4,USD,1143,Сырье
NEU,369.76,1.9,9.0,16.1,+4,USD,1147,Сырье
AVY,149.34,1.5,13.8,23.87,4,USD,1174,Сырье
AKRN,6120.0,5.9,9.0,15.886823529411766,3,RUB,1184,Сырье
RS,117.8,1.8,9.0,19.28,4,USD,1223,Сырье
VSMO,19840.0,8.8,31.0,32.88,2,RUB,1250,Сырье
CHMF,1119.6,10.8,-0.1,13.17,+4,RUB,1260,Сырье
IFF,112.1,2.6,33.8,34.48,4,USD,1316,Сырье
ALRS,87.95,9.0,15.3,29.41,2,RUB,1402,Сырье
CF,37.3,3.2,4.5,28.26,4,USD,1426,Сырье
APD,280.14,1.6,24.0,33.01,+4,USD,1491,Сырье
FUL,52.33,1.2,9.0,23.77,4,USD,1493,Сырье
CLF,11.01,2.5,9.0,30.5192485549133,5,USD,1493,Сырье
PLZL,14522.5,2.1,21.9,19.43,2,RUB,1515,Сырье
LYB,85.1,4.8,-13.1,23.97,4,USD,1530,Сырье
POLY,1595.4,0.0,5.5,14.01,2,USD,1600,Сырье
SEE,45.06,1.4,-6.8,15.06,+4,USD,1608,Сырье
SELG,45.04,1.7,9.0,15.886823529411766,1,RUB,1639,Сырье
GMKN,21456.0,10.6,5.1,18.59,+3,RUB,1679,Сырье
VALE,14.56,1.5,0.7,25.85,1,USD,1690,Сырье
FMC,116.01,1.4,6.2,30.42,4,USD,1694,Сырье
DD,63.44,2.7,5.0,30.5192485549133,3,USD,1715,Сырье
NUE,53.7,2.9,9.0,38.11,4,USD,1723,Сырье
NLMK,192.38,5.7,5.0,17.35,+2,RUB,1732,Сырье
EMN,97.4,2.5,-9.7,28.16,4,USD,1734,Сырье
SCCO,59.37,2.6,9.0,35.69,4,USD,1735,Сырье
UFS,30.1,5.9,-5.4,30.5192485549133,4,USD,1769,Сырье
VMC,139.65,0.8,6.3,30.47,4,USD,1805,Сырье
MLM,265.63,0.7,0.7,24.79,4,USD,1827,Сырье
MAGN,42.0,8.5,-3.9,17.0,+3,RUB,1836,Сырье
CE,129.33,1.8,-12.9,26.64,4,USD,1851,Сырье
ASIX,17.77,0.0,12.5,28.98,0,USD,1884,Сырье
DOW,53.01,2.6,-2.0,30.5192485549133,2,USD,1897,Сырье
ECL,222.15,0.8,9.0,30.5192485549133,4,USD,1902,Сырье
RASP,146.22,1.7,-18.7,13.04,1,RUB,1908,Сырье
RPM,88.01,1.6,-12.6,30.3,4,USD,1950,Сырье
POGR,27.585,0.0,15.9,15.886823529411766,0,RUB,1974,Сырье
CRS,24.44,3.2,-10.0,30.5192485549133,4,USD,1986,Сырье
RGLD,110.47,0.9,9.0,30.75,+4,USD,2044,Сырье
NGVT,66.58,0.0,5.1,15.47,0,USD,2068,Сырье
IP,49.48,4.0,-6.1,39.56,4,USD,2068,Сырье
PHOR,2999.0,5.9,-2.8,36.59,+3,RUB,2079,Сырье
ASH,75.17,0.0,6.4,30.5192485549133,0,USD,2177,Сырье
SHW,747.63,0.6,9.0,36.88,4,USD,2236,Сырье
LIN,257.56,1.3,7.8,61.04,4,USD,2256,Сырье
MOS,21.96,0.7,-4.4,30.5192485549133,4,USD,2268,Сырье
MTRN,58.3,0.7,9.0,48.53,4,USD,2272,Сырье
GRA,54.72,0.0,24.2,269.03,0,USD,2346,Сырье
PPG,146.77,1.3,-11.5,32.36,4,USD,2382,Сырье
KALU,77.98,3.0,-19.5,103.07,4,USD,2490,Сырье
FCX,23.39,0.8,-28.7,30.5192485549133,4,USD,2565,Сырье
WLK,75.15,1.3,-37.5,33.48,4,USD,2574,Сырье
UNVR,17.9,0.0,17.3,97.6,0,USD,2586,Сырье
ALB,135.97,1.0,-21.0,37.98,+4,USD,2604,Сырье
BLL,96.01,0.5,-1.6,61.78,4,USD,2605,Сырье
CTVA,38.32,0.6,-12.6,46.64,2,USD,2675,Сырье
ENPG,723.5,0.0,-3.0,15.886823529411766,0,RUB,2743,Сырье
AA,19.95,0.0,-6.4,30.5192485549133,0,USD,2889,Сырье
RUAL,37.65,0.0,-17.7,35.7,0,RUB,3017,Сырье
