ALNU,51000.0,20.3,13.8,1.88,1,RUB,213,Сырье
GMKN,20502.0,11.1,26.4,8.64,3,RUB,394,Сырье
CHMF,944.0,12.8,20.1,8.28,+4,RUB,412,Сырье
NLMK,137.58,8.0,46.8,9.65,+2,RUB,418,Сырье
NKNC,99.0,20.1,13.8,7.55,1,RUB,440,Сырье
MTLRP,80.2,22.7,48.3,11.479750000000001,1,RUB,458,Сырье
CHEP,217.0,7.0,13.8,6.67,1,RUB,500,Сырье
KZOS,91.1,8.5,13.8,8.73,1,RUB,556,Сырье
MAGN,42.99,8.3,13.8,9.25,+3,RUB,583,Сырье
VSMO,18880.0,9.3,13.8,10.55,2,RUB,613,Сырье
ALRS,66.5,11.9,68.4,11.77,2,RUB,626,Сырье
SELG,23.48,3.3,13.8,7.35,1,RUB,775,Сырье
RASP,109.88,2.2,13.8,5.26,1,RUB,853,Сырье
NKNCP,89.0,22.4,-3.4,7.55,1,RUB,993,Сырье
PLZL,10149.0,3.0,40.9,22.61,2,RUB,1043,Сырье
KZOSP,12.21,2.0,13.8,8.73,1,RUB,1059,Сырье
AKRN,5652.0,6.4,13.8,44.29,3,RUB,1136,Сырье
PHOR,2785.0,8.9,7.6,28.6,4,RUB,1419,Сырье
RUAL,27.75,0.0,11.7,11.479750000000001,0,RUB,1798,Сырье
